id	text	label
41440	Su nombre es el de los 30 mil, aunque mantengan el suyo.	0
40778	Pero no es ése el mayor problema.	0
43210	El panel de siete hombres y cinco mujeres deliberó ayer durante casi cinco horas y hoy trabajó otras dos antes de que los abogados de ambas partes fueran convocados al tribunal para una sesión a puertas cerradas con el juez.	0
42419	Lo hizo en un acto en el Salón Sur en el que se anunciaron obras para Formosa.	0
42408	Y está obligada a Tomar “medidas extremas”.	0
43189	En tanto, los investigadores aguardan el resultado de un peritaje que están realizando expertos en tecnología de Gendarmería Nacional al teléfono celular de Pastorizzo, ya que quieren establecer los últimos mensajes y contactos que tuvo con Galarza antes de ser asesinado.	0
40430	"El jefe de Gabinete también negó las versiones que daban cuenta de que tenía diferencias con grupos piqueteros oficialistas, al recordar que él tiene ""una historia de trabajo con muchas organizaciones sociales desde la Anses y desde el municipio [de Tigre]""."	0
40310	La Argentina retrocedería un paso todos los días.	0
41557	El periodista y conductor se movió junto a su producción a Río Gallegos, donde realizó varios informes sobre los 20 años del kirchnerismo en la provincia.	0
40178	Buscaban a mi esposo.	0
42015	"Pero a ella no le gusta esta Constitución y así que la va a intentar cambiar""."	0
43329	Maulucci circulaba a alta velocidad a la una y media de la mañana, cuando su Motomel Custom 150 centímetros cúbicos de cilindrada y patente DJY707 impactó contra el vehículo.Según informaron fuentes policiales a Clarín, todavía no se han determinado las causas del accidente.	0
41512	El candidato opositor, que se abstuvo de competir pero que no fue retirado de las boletas, no quedó como un perdedor que reclama, sino como un postulante forzado a quedar fuera de carrera para no ser arrastrado por una elección fraudulenta.	0
40724	"Y cerró: ""Sabemos que hay gente enojada con Cambiemos."	0
40328	“¿Creen que estábamos agazapados esperando que se parara un tren?”, argumentaron para rechazar el presunto boicot.	0
40756	El funcionario les había prometido anteayer ayuda humanitaria y ómnibus para llevarlos a Ciudad de México, en otra escala hacia su destino final.	0
43305	Al mismo tiempo, el movimiento islamista advirtió a la comunidad internacional que Egipto se convertiría en la nueva Siria si no se tomaba una acción para detener los ataques a la gente.	0
42765	Lo hace desde el silencio, como los chicos ofendidos, que de tanto negar acaban mostrando.	0
41866	Tres palestinos muertos en Gaza Soldados israelíes mataron esta noche a tres militantes palestinos en la Franja de Gaza, cerca de la ciudad de Deir El Ballah, informaron fuentes de seguridad palestinas.	0
42531	La ley electoral otorga la victoria al candidato con al menos el 50% de los votos, o con el 40% y diez puntos de ventaja sobre el segundo.	0
40193	Lucas tenía un hermana y tres hermanos.	0
41684	"""Él es parte del Frente de Todos que se ha construido con una pata que es Grabois; estuvo con Cristina Kirchner cuando fue a Tribunales, estuvo en un montón de oportunidades"", dijo Bullrich en diálogo con La Rosca (Todo Noticias)."	0
